
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:45:36, Part:กวาดข้อมูล, CPU:16.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:45:46, Part:กวาดข้อมูล, CPU:14.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:45:57, Part:กวาดข้อมูล, CPU:12.3%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:46:10, Part:กวาดข้อมูล, CPU:32.4%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:46:15, Part:กวาดข้อมูล, CPU:7.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:46:25, Part:กวาดข้อมูล, CPU:7.9%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:47:32, Part:กวาดข้อมูล, CPU:8.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:47:44, Part:กวาดข้อมูล, CPU:17.3%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:47:57, Part:กวาดข้อมูล, CPU:18.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:48:03, Part:กวาดข้อมูล, CPU:11.3%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:48:20, Part:กวาดข้อมูล, CPU:13.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:48:26, Part:กวาดข้อมูล, CPU:13.7%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:48:33, Part:กวาดข้อมูล, CPU:13.4%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:48:52, Part:กวาดข้อมูล, CPU:10.3%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:49:02, Part:กวาดข้อมูล, CPU:5.9%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:49:08, Part:กวาดข้อมูล, CPU:3.9%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:49:15, Part:กวาดข้อมูล, CPU:7.0%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:49:21, Part:กวาดข้อมูล, CPU:9.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:49:54, Part:กวาดข้อมูล, CPU:6.8%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:50:06, Part:กวาดข้อมูล, CPU:14.5%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:50:46, Part:กวาดข้อมูล, CPU:4.4%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:51:01, Part:กวาดข้อมูล, CPU:9.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:51:28, Part:กวาดข้อมูล, CPU:6.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:51:33, Part:กวาดข้อมูล, CPU:24.5%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:51:57, Part:กวาดข้อมูล, CPU:3.8%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:52:09, Part:กวาดข้อมูล, CPU:6.6%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:52:45, Part:กวาดข้อมูล, CPU:6.3%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:52:50, Part:กวาดข้อมูล, CPU:10.2%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:53:11, Part:กวาดข้อมูล, CPU:20.7%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:53:27, Part:กวาดข้อมูล, CPU:8.7%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:53:32, Part:กวาดข้อมูล, CPU:12.0%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:53:39, Part:กวาดข้อมูล, CPU:22.0%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:53:47, Part:กวาดข้อมูล, CPU:3.4%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:53:52, Part:กวาดข้อมูล, CPU:4.5%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:53:57, Part:กวาดข้อมูล, CPU:15.9%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:54:08, Part:กวาดข้อมูล, CPU:18.3%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:54:20, Part:กวาดข้อมูล, CPU:26.0%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:54:26, Part:กวาดข้อมูล, CPU:17.9%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:54:42, Part:กวาดข้อมูล, CPU:12.5%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:54:53, Part:กวาดข้อมูล, CPU:15.8%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:55:29, Part:กวาดข้อมูล, CPU:4.5%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:55:53, Part:กวาดข้อมูล, CPU:9.7%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:56:15, Part:กวาดข้อมูล, CPU:10.1%
Campaign: การประปานครหลวง, Keyword: การประปานครหลวง, Datetime:2024-05-15 20:56:29, Part:กวาดข้อมูล, CPU:8.4%
